,City,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph),Lat,Lng,Country
0,Half Moon Bay,61.0,71,1,8.05,37.4636,-122.4286,US
1,Rocha,63.48,94,3,4.12,-34.4833,-54.3333,UY
2,Dauphin,-22.0,63,1,12.66,51.1494,-100.0502,CA
3,Rikitea,78.78,69,73,10.56,-23.1203,-134.9692,PF
4,Esik,37.4,70,90,8.95,43.3552,77.4525,KZ
5,Arlit,61.77,26,20,5.46,18.7369,7.3853,NE
6,Busselton,62.01,95,100,3.0,-33.65,115.3333,AU
7,Rudnichnyy,-7.46,91,100,7.63,59.617,52.4703,RU
8,Barrow,-4.0,77,90,14.97,71.2906,-156.7887,US
9,Stephenville,50.0,57,1,3.44,32.2207,-98.2023,US
10,Hithadhoo,81.36,76,0,12.19,-0.6,73.0833,MV
11,Broome,24.8,33,1,3.44,42.2506,-75.833,US
12,Iqaluit,26.6,68,90,11.5,63.7506,-68.5145,CA
13,Talnakh,-29.16,72,0,1.81,69.4865,88.3972,RU
14,Bilibino,-3.21,79,0,3.6,68.0546,166.4372,RU
15,Bengkulu,83.34,63,84,4.12,-3.8004,102.2655,ID
16,Herat Province,33.8,51,0,3.89,34.5,62.0,AF
17,Dhidhdhoo,81.28,68,1,9.91,6.8833,73.1,MV
18,Bubaque,78.51,53,51,23.53,11.2833,-15.8333,GW
19,Lüderitz,67.42,70,0,22.7,-26.6481,15.1594,NA
20,Mataura,81.86,44,5,1.34,-46.1927,168.8643,NZ
21,Gorin,2.97,91,100,6.69,51.1983,136.6669,RU
22,Arraial do Cabo,72.1,84,100,7.67,-22.9661,-42.0278,BR
23,Berlevåg,26.74,94,100,25.59,70.8578,29.0864,NO
24,Mar del Plata,64.0,77,20,11.5,-38.0023,-57.5575,AR
25,Hermanus,66.99,94,98,4.76,-34.4187,19.2345,ZA
26,Puerto Escondido,80.6,74,75,4.61,15.85,-97.0667,MX
27,Cabo San Lucas,69.8,60,20,8.05,22.8909,-109.9124,MX
28,Jamestown,17.6,53,1,6.91,42.097,-79.2353,US
29,Quatre Cocos,75.0,86,4,1.99,-20.2078,57.7625,MU
30,Esim,79.56,87,56,9.69,4.8699,-2.2405,GH
31,Cidreira,67.48,77,10,5.3,-30.1811,-50.2056,BR
32,Coquimbo,60.8,82,0,6.91,-29.9533,-71.3436,CL
33,Vaini,84.2,84,75,9.22,-21.2,-175.2,TO
34,Cayenne,77.0,100,90,8.05,4.9333,-52.3333,GF
35,Meulaboh,79.41,83,80,4.5,4.1363,96.1285,ID
36,Havre-St-Pierre,28.4,93,90,34.52,50.2334,-63.5986,CA
37,Sokolo,76.73,19,98,16.15,14.7328,-6.1219,ML
38,Binga,71.67,89,94,3.22,-17.6203,27.3414,ZW
39,Tuktoyaktuk,-16.6,76,90,19.57,69.4541,-133.0374,CA
40,Albany,25.0,48,0,2.01,42.6001,-73.9662,US
41,Montepuez,69.58,100,100,3.78,-13.1256,38.9997,MZ
42,New Norfolk,66.0,47,82,3.0,-42.7826,147.0587,AU
43,Yilan,77.0,69,20,10.36,24.757,121.753,TW
44,Huarmey,71.1,77,100,6.91,-10.0681,-78.1522,PE
45,Hilo,78.8,53,75,5.75,19.7297,-155.09,US
46,Denpasar,82.4,83,20,2.3,-8.65,115.2167,ID
47,Constitución,57.38,87,32,4.29,-35.3333,-72.4167,CL
48,Rawson,58.26,69,32,19.86,-43.3002,-65.1023,AR
49,Port Alfred,66.99,87,33,4.0,-33.5906,26.891,ZA
50,Nikolskoye,10.4,85,75,15.66,59.7035,30.7861,RU
51,Thisted,23.0,84,5,5.99,56.9552,8.6949,DK
52,Port Elizabeth,63.0,90,4,13.22,-33.918,25.5701,ZA
53,Puerto Ayora,77.0,94,50,6.69,-0.7393,-90.3518,EC
54,Airai,72.81,74,72,5.39,-8.9266,125.4092,TL
55,Urmia,30.2,86,0,4.61,37.5527,45.0761,IR
56,Sakaiminato,51.8,76,75,9.22,35.55,133.2333,JP
57,Alofi,86.0,70,100,12.66,-19.0595,-169.9187,NU
58,Coos Bay,50.0,87,90,4.61,43.3665,-124.2179,US
59,Saint-Philippe,78.8,69,40,6.91,-21.3585,55.7679,RE
60,Yellowknife,-40.0,74,1,3.44,62.456,-114.3525,CA
61,Filingué,71.96,21,10,7.83,14.3521,3.3168,NE
62,Saint-Pierre,78.8,69,40,6.91,-21.3393,55.4781,RE
63,Darhan,0.43,88,50,6.67,49.4867,105.9228,MN
64,Ushuaia,50.0,76,75,12.66,-54.8,-68.3,AR
65,Bredasdorp,66.2,88,97,3.44,-34.5322,20.0403,ZA
66,Egvekinot,-4.58,78,0,7.81,66.3167,-179.1667,RU
67,Wanning,72.28,74,17,4.9,18.8003,110.3967,CN
68,Praia,68.0,64,75,20.71,14.9215,-23.5087,CV
69,Saint Paul Harbor,37.4,65,1,10.36,57.79,-152.4072,US
70,Castro,61.34,92,44,10.78,-24.7911,-50.0119,BR
71,Punta Arenas,51.8,66,0,17.27,-53.15,-70.9167,CL
72,Nabire,82.22,68,100,1.14,-3.3667,135.4833,ID
73,Thompson,-27.4,68,40,12.66,55.7435,-97.8558,CA
74,Avarua,86.0,66,17,11.5,-21.2078,-159.775,CK
75,Qaanaaq,10.69,87,100,7.56,77.484,-69.3632,GL
76,Cape Town,70.0,83,20,11.5,-33.9258,18.4232,ZA
77,Atuona,79.99,80,73,18.21,-9.8,-139.0333,PF
78,Bluff,61.45,71,0,7.96,-46.6,168.3333,NZ
79,Khatanga,-35.28,78,0,8.55,71.9667,102.5,RU
80,Mapiri,68.7,88,19,0.34,-15.25,-68.1667,BO
81,Yumen,32.23,64,100,3.44,40.2833,97.2,CN
82,Longyearbyen,15.8,86,75,12.66,78.2186,15.6401,SJ
83,Mâncio Lima,74.93,88,42,1.39,-7.6142,-72.8958,BR
84,Velizh,0.21,93,91,6.04,55.6056,31.1967,RU
85,Cherskiy,-2.88,81,0,3.31,68.75,161.3,RU
